"id","email","age","distance2offline","online_visits","online_trans","online_ads","online_spend","offline_trans","offline_spend","rating4service","rating4products","newsreceived","newscharges"
1,"yes",28,11.487,9,3,1,18.01,0,0,2,2,72,19.75
2,"yes",38,12.596,0,0,0,0,2,107.25,NA,NA,68,86.05
3,"yes",34,100.722,0,0,1,0,0,0,NA,NA,35,422.6
4,"yes",45,156.003,411,119,3,2201.37,0,0,4,4,23,95.1
5,"yes",33,64.944,0,0,1,0,3,67.6,3,3,50,3019.25
6,"yes",27,10.638,0,0,1,0,0,0,4,2,10,4068
7,"yes",35,7.587,2,0,1,0,0,0,NA,NA,53,5617.75
8,"",35,5.001,13,4,2,52.97,1,33.9,3,2,62,6300.85
9,"yes",31,3.544,0,0,3,0,0,0,NA,NA,30,3008.15
10,"yes",123,3.088,0,0,3,0,4,155.54,2,2,57,4952.95
11,"no",31,2.832,22,8,1,52.17,2,75.86,3,2,5,210.65
12,"",31,4.22,123,40,1,242.5,2,47.12,4,5,4,564.4
4,"yes",45,152.003,410,119,4,2000.37,0,0,4,4,23,95.1
13,"yes",36,3.049,6,3,2,33.45,2,92.99,2,1,2,7774.05
14,"yes",35,19.298,94,27,2,281.86,0,0,4,5,37,605.45
15,"yes",37,28.395,28,7,1,42.53,2,86.34,2,1,64,3001.2
16,"yes",130,3.077,462,126,3,2221.83,3,89.26,3,3,50,1641.3
17,"yes",31,1.417,35,12,1,78.6,1,16.39,3,3,1,201.7
18,"yes",35,6.116,71,24,1,122.59,2,61.92,4,3,32,1033.9
19,"yes",31,11.27,51,15,2,172.57,1,43.09,2,1,65,2168.15
20,"yes",46,4.941,0,0,0,0,0,0,3,3,14,96.8
21,"no",30,13.169,16,4,3,67.1,0,0,NA,NA,60,44.4
22,"yes",43,22.555,16,3,4,74.91,0,0,NA,NA,58,5848.6
23,"yes",30,27.837,2,1,3,21.42,2,48.42,2,2,4,74.3
24,"yes",33,9.269,71,19,0,0,3,73.62,NA,NA,51,5692.65
25,"yes",39,3.302,12,1,2,12.35,0,0,4,4,72,363.15
26,"yes",32,5.95,5,0,2,0,0,0,2,2,34,1849.95
27,"yes",31,30.206,0,0,1,0,2,30.05,NA,NA,62,112.75
28,"yes",36,71.881,44,18,2,192.97,1,33.52,2,1,4,102.5
29,"yes",40,46.985,3,1,1,6.68,0,0,NA,NA,42,1058.25
30,"yes",38,11.134,10,2,3,29.93,0,0,NA,NA,31,6903.1
31,"no",34,5.92,0,0,1,0,0,0,NA,NA,65,2625.25
32,"yes",40,10.65,1,0,2,0,2,153.36,3,2,12,45.85
24,"yes",33,9.269,65,13,0,0,3,73.62,NA,NA,51,5692.65
33,"yes",34,6.848,78,21,0,0,0,0,NA,NA,4,2254.2
34,"yes",34,187.699,71,24,1,156.3,0,0,2,3,1,1710.45
35,"yes",36,70.264,126,27,1,176.98,0,0,3,3,2,4973.4
36,"no",28,13.356,0,0,1,0,0,0,3,2,16,117.95
37,"yes",34,1.789,0,0,2,0,2,59.8,NA,NA,13,4535.85
38,"no",44,2.108,7,2,2,25.35,3,108.66,3,2,68,552.65
39,"yes",37,5.432,0,0,1,0,3,59.82,NA,NA,11,134.05
40,"yes",39,11.303,16,7,3,151.29,0,0,3,3,4,1821.8
