CountryCode,SuppAccom,SuppLife,SuppAuth,SuppJob
AUT,4.480662983,5.154372624,8.808823529,7.668079368
BEL,4.928176796,3.641825095,7.882352941,4.531689463
BGR,4.580110497,9.185551331,5.720588235,9.160855327
HRV,7.762430939,2.868441065,1,1.312078598
CYP,1.64640884,1.362737643,3.029411765,3.826045078
CZE,7.016574586,5.496577947,6.558823529,1.944904643
DNK,2.193370166,4.647908745,2.897058824,1.651897515
EST,4.132596685,1.054752852,1.485294118,1.991716432
FIN,4.082872928,10,7.220588235,6.298401079
FRA,1,1,2.455882353,2.201502601
DEU,7.165745856,2.608365019,4.176470588,2.586399538
GRC,4.878453039,4.743726236,5.191176471,7.245039491
HUN,1.596685083,1.047908745,1.397058824,1
IRL,10,6.454752852,9.294117647,6.237719129
ITA,3.834254144,7.577186312,10,7.132344442
LTU,3.237569061,3.224334601,2.588235294,2.116547871
LUX,1.447513812,1.944486692,5.235294118,4.278559045
MLT,1.596685083,1.903422053,2.147058824,1.970911192
NLD,3.883977901,1.020532319,1.220588235,1.03987671
POL,2.640883978,2.129277567,3.867647059,1.270468118
PRT,3.436464088,3.121673004,1.926470588,1.100558659
ROU,3.883977901,1.533840304,1.397058824,2.31593142
SVK,3.08839779,2.266159696,2.720588235,2.22230784
SVN,2.29281768,2.923193916,3.029411765,2.732036217
ESP,3.287292818,6.591634981,6.470588235,10
SWE,5.475138122,7.015969582,6.294117647,2.002119052
GBR,6.171270718,4.866920152,8.676470588,4.075707956
