"customerID","gender","tenure","PhoneService","MultipleProducts","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","UsingSocial","SupportMovies","TimeUsingProduct","PaperlessBilling","PaymentMethod","MonthlyCharges","WorkaroundIntensity","IsLeadUser"
"3668-QPYBK","Male",2,"Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Mailed check",53.85,108.15,"No"
"9237-HQITU","Female",2,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",70.7,151.65,"No"
"9305-CDSKC","Female",8,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",99.65,820.5,"No"
"7892-POOKP","Female",28,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",104.8,3046.05,"No"
"0280-XJGEX","Male",49,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",103.7,5036.3,"No"
"3655-SNQYZ","Female",69,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",113.25,7895.15,"Yes"
"4190-MFLUW","Female",10,"Yes","No","DSL","No","No","Yes","Yes","No","No","Month-to-month","No","Credit card (automatic)",55.2,528.35,"No"
"8779-QRDMV","Male",1,"No","No phone service","DSL","No","No","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",39.65,39.65,"No"
"1066-JKSGK","Male",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.15,20.15,"No"
"6467-CHFZW","Male",47,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",99.35,4749.15,"No"
"8665-UTDHZ","Male",1,"No","No phone service","DSL","No","Yes","No","No","No","No","Month-to-month","No","Electronic check",30.2,30.2,"No"
"8773-HHUOZ","Female",17,"Yes","No","DSL","No","No","No","No","Yes","Yes","Month-to-month","Yes","Mailed check",64.7,1093.1,"No"
"6047-YHPVI","Male",5,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.7,316.9,"No"
"6572-ADKRS","Female",46,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Credit card (automatic)",74.8,3548.3,"Yes"
"5380-WJKOV","Male",34,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",106.35,3549.25,"No"
"8168-UQWWF","Female",11,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",97.85,1105.4,"No"
"7760-OYPDY","Female",2,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",80.65,144.15,"No"
"2954-PIBKO","Female",69,"Yes","Yes","DSL","Yes","No","Yes","Yes","No","No","Two year","Yes","Credit card (automatic)",64.15,4254.1,"Yes"
"9420-LOJKX","Female",15,"Yes","No","Fiber optic","Yes","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",99.1,1426.4,"No"
"7495-OOKFY","Female",8,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",80.65,633.3,"No"
"1658-BYGOY","Male",18,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",95.45,1752.55,"No"
"5954-BDFSG","Female",72,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",107.5,7853.7,"Yes"
"0434-CSFON","Female",47,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",100.5,4707.1,"Yes"
"5698-BQJOH","Female",9,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","No","Electronic check",94.4,857.25,"No"
"5919-TMRGD","Female",1,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",79.35,79.35,"No"
"9191-MYQKX","Female",7,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",75.15,496.9,"No"
"8637-XJIVR","Female",12,"Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Electronic check",78.95,927.35,"No"
"0278-YXOOG","Male",5,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",21.05,113.85,"No"
"4598-XLKNJ","Female",25,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",98.5,2514.5,"No"
"3192-NQECA","Male",68,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",110,7611.85,"No"
"0486-HECZI","Male",55,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",96.75,5238.9,"No"
"4846-WHAFZ","Female",37,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",76.5,2868.15,"No"
"5299-RULOA","Female",10,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",100.25,1064.65,"No"
